ITEMS TO SELL:
 6 ride 7 T=morning
 6 ride 7 T=afternoon
 6 ride 7 T=evening
 8 ride 13 T=morning
 8 ride 13 T=afternoon
 8 ride 13 T=evening
 6 ride 6 T=morning
 6 ride 6 T=afternoon
 6 ride 6 T=evening
 5 ride 12 T=morning
 5 ride 12 T=afternoon
 5 ride 12 T=evening
 7 ride 5 T=morning
 7 ride 5 T=afternoon
 7 ride 5 T=evening
 6 ride 11 T=morning
 6 ride 11 T=afternoon
 6 ride 11 T=evening
 9 ride 4 T=morning
 9 ride 4 T=afternoon
 9 ride 4 T=evening
 8 ride 10 T=morning
 8 ride 10 T=afternoon
 8 ride 10 T=evening
 8 ride 3 T=morning
 8 ride 3 T=afternoon
 8 ride 3 T=evening
 9 ride 9 T=morning
 9 ride 9 T=afternoon
 9 ride 9 T=evening
 8 ride 2 T=morning
 8 ride 2 T=afternoon
 8 ride 2 T=evening
 9 ride 8 T=morning
 9 ride 8 T=afternoon
 9 ride 8 T=evening
 11 ride 1 T=morning
 11 ride 1 T=afternoon
 11 ride 1 T=evening
---------------
Name: Agent 983
Bids:
  16  ride 7 T=morning
  12  ride 7 T=afternoon
  3  ride 7 T=evening
  16  ride 13 T=morning
  12  ride 13 T=afternoon
  3  ride 13 T=evening
  17  ride 6 T=morning
  13  ride 6 T=afternoon
  3  ride 6 T=evening
  17  ride 12 T=morning
  13  ride 12 T=afternoon
  3  ride 12 T=evening
  17  ride 5 T=morning
  13  ride 5 T=afternoon
  4  ride 5 T=evening
  17  ride 11 T=morning
  13  ride 11 T=afternoon
  4  ride 11 T=evening
  18  ride 4 T=morning
  14  ride 4 T=afternoon
  4  ride 4 T=evening
  18  ride 10 T=morning
  14  ride 10 T=afternoon
  4  ride 10 T=evening
  18  ride 3 T=morning
  15  ride 3 T=afternoon
  5  ride 3 T=evening
  18  ride 9 T=morning
  15  ride 9 T=afternoon
  5  ride 9 T=evening
  19  ride 2 T=morning
  15  ride 2 T=afternoon
  5  ride 2 T=evening
  19  ride 8 T=morning
  15  ride 8 T=afternoon
  5  ride 8 T=evening
  19  ride 1 T=morning
  16  ride 1 T=afternoon
  6  ride 1 T=evening
------------
Name: Agent 623
Bids:
  55  ride 7 T=morning
  51  ride 7 T=afternoon
  41  ride 7 T=evening
  55  ride 13 T=morning
  51  ride 13 T=afternoon
  41  ride 13 T=evening
  55  ride 6 T=morning
  52  ride 6 T=afternoon
  42  ride 6 T=evening
  55  ride 12 T=morning
  52  ride 12 T=afternoon
  42  ride 12 T=evening
  56  ride 5 T=morning
  52  ride 5 T=afternoon
  42  ride 5 T=evening
  56  ride 11 T=morning
  52  ride 11 T=afternoon
  42  ride 11 T=evening
  56  ride 4 T=morning
  53  ride 4 T=afternoon
  43  ride 4 T=evening
  56  ride 10 T=morning
  53  ride 10 T=afternoon
  43  ride 10 T=evening
  57  ride 3 T=morning
  53  ride 3 T=afternoon
  43  ride 3 T=evening
  57  ride 9 T=morning
  53  ride 9 T=afternoon
  43  ride 9 T=evening
  58  ride 2 T=morning
  54  ride 2 T=afternoon
  44  ride 2 T=evening
  58  ride 8 T=morning
  54  ride 8 T=afternoon
  44  ride 8 T=evening
  58  ride 1 T=morning
  54  ride 1 T=afternoon
  45  ride 1 T=evening
------------
Name: Agent 277
Bids:
  21  ride 7 T=morning
  17  ride 7 T=afternoon
  7  ride 7 T=evening
  21  ride 13 T=morning
  17  ride 13 T=afternoon
  7  ride 13 T=evening
  21  ride 6 T=morning
  17  ride 6 T=afternoon
  8  ride 6 T=evening
  21  ride 12 T=morning
  17  ride 12 T=afternoon
  8  ride 12 T=evening
  22  ride 5 T=morning
  18  ride 5 T=afternoon
  8  ride 5 T=evening
  22  ride 11 T=morning
  18  ride 11 T=afternoon
  8  ride 11 T=evening
  22  ride 4 T=morning
  19  ride 4 T=afternoon
  9  ride 4 T=evening
  22  ride 10 T=morning
  19  ride 10 T=afternoon
  9  ride 10 T=evening
  23  ride 3 T=morning
  19  ride 3 T=afternoon
  9  ride 3 T=evening
  23  ride 9 T=morning
  19  ride 9 T=afternoon
  9  ride 9 T=evening
  23  ride 2 T=morning
  20  ride 2 T=afternoon
  10  ride 2 T=evening
  23  ride 8 T=morning
  20  ride 8 T=afternoon
  10  ride 8 T=evening
  24  ride 1 T=morning
  20  ride 1 T=afternoon
  10  ride 1 T=evening
------------
Name: Agent 69
Bids:
  30  ride 7 T=morning
  26  ride 7 T=afternoon
  16  ride 7 T=evening
  30  ride 13 T=morning
  26  ride 13 T=afternoon
  16  ride 13 T=evening
  30  ride 6 T=morning
  26  ride 6 T=afternoon
  17  ride 6 T=evening
  30  ride 12 T=morning
  26  ride 12 T=afternoon
  17  ride 12 T=evening
  31  ride 5 T=morning
  27  ride 5 T=afternoon
  17  ride 5 T=evening
  31  ride 11 T=morning
  27  ride 11 T=afternoon
  17  ride 11 T=evening
  31  ride 4 T=morning
  27  ride 4 T=afternoon
  18  ride 4 T=evening
  31  ride 10 T=morning
  27  ride 10 T=afternoon
  18  ride 10 T=evening
  32  ride 3 T=morning
  28  ride 3 T=afternoon
  18  ride 3 T=evening
  32  ride 9 T=morning
  28  ride 9 T=afternoon
  18  ride 9 T=evening
  32  ride 2 T=morning
  29  ride 2 T=afternoon
  19  ride 2 T=evening
  32  ride 8 T=morning
  29  ride 8 T=afternoon
  19  ride 8 T=evening
  33  ride 1 T=morning
  29  ride 1 T=afternoon
  19  ride 1 T=evening
------------
Name: Agent 113
Bids:
  22  ride 7 T=morning
  18  ride 7 T=afternoon
  8  ride 7 T=evening
  22  ride 13 T=morning
  18  ride 13 T=afternoon
  8  ride 13 T=evening
  22  ride 6 T=morning
  19  ride 6 T=afternoon
  9  ride 6 T=evening
  22  ride 12 T=morning
  19  ride 12 T=afternoon
  9  ride 12 T=evening
  23  ride 5 T=morning
  19  ride 5 T=afternoon
  9  ride 5 T=evening
  23  ride 11 T=morning
  19  ride 11 T=afternoon
  9  ride 11 T=evening
  23  ride 4 T=morning
  20  ride 4 T=afternoon
  10  ride 4 T=evening
  23  ride 10 T=morning
  20  ride 10 T=afternoon
  10  ride 10 T=evening
  24  ride 3 T=morning
  20  ride 3 T=afternoon
  11  ride 3 T=evening
  24  ride 9 T=morning
  20  ride 9 T=afternoon
  11  ride 9 T=evening
  25  ride 2 T=morning
  21  ride 2 T=afternoon
  11  ride 2 T=evening
  25  ride 8 T=morning
  21  ride 8 T=afternoon
  11  ride 8 T=evening
  25  ride 1 T=morning
  21  ride 1 T=afternoon
  12  ride 1 T=evening
------------
Name: Agent 392
Bids:
  50  ride 7 T=morning
  46  ride 7 T=afternoon
  37  ride 7 T=evening
  50  ride 13 T=morning
  46  ride 13 T=afternoon
  37  ride 13 T=evening
  51  ride 6 T=morning
  47  ride 6 T=afternoon
  37  ride 6 T=evening
  51  ride 12 T=morning
  47  ride 12 T=afternoon
  37  ride 12 T=evening
  51  ride 5 T=morning
  47  ride 5 T=afternoon
