ITEMS TO SELL:
 1 ride 7 T=morning
 1 ride 7 T=afternoon
 1 ride 7 T=evening
 1 ride 13 T=morning
 1 ride 13 T=afternoon
 1 ride 13 T=evening
 1 ride 6 T=morning
 1 ride 6 T=afternoon
 1 ride 6 T=evening
 1 ride 12 T=morning
 1 ride 12 T=afternoon
 1 ride 12 T=evening
 1 ride 5 T=morning
 1 ride 5 T=afternoon
 1 ride 5 T=evening
 1 ride 11 T=morning
 1 ride 11 T=afternoon
 1 ride 11 T=evening
 1 ride 4 T=morning
 1 ride 4 T=afternoon
 1 ride 4 T=evening
 1 ride 10 T=morning
 1 ride 10 T=afternoon
 1 ride 10 T=evening
 1 ride 3 T=morning
 1 ride 3 T=afternoon
 1 ride 3 T=evening
 1 ride 9 T=morning
 1 ride 9 T=afternoon
 1 ride 9 T=evening
 1 ride 2 T=morning
 1 ride 2 T=afternoon
 1 ride 2 T=evening
 1 ride 8 T=morning
 1 ride 8 T=afternoon
 1 ride 8 T=evening
 1 ride 1 T=morning
 1 ride 1 T=afternoon
 1 ride 1 T=evening
---------------
Name: Agent 618
Bids:
  28  ride 7 T=morning
  27  ride 7 T=afternoon
  25  ride 7 T=evening
  28  ride 13 T=morning
  27  ride 13 T=afternoon
  25  ride 13 T=evening
  28  ride 6 T=morning
  28  ride 6 T=afternoon
  26  ride 6 T=evening
  28  ride 12 T=morning
  28  ride 12 T=afternoon
  26  ride 12 T=evening
  29  ride 5 T=morning
  28  ride 5 T=afternoon
  26  ride 5 T=evening
  29  ride 11 T=morning
  28  ride 11 T=afternoon
  26  ride 11 T=evening
  29  ride 4 T=morning
  29  ride 4 T=afternoon
  27  ride 4 T=evening
  29  ride 10 T=morning
  29  ride 10 T=afternoon
  27  ride 10 T=evening
  30  ride 3 T=morning
  29  ride 3 T=afternoon
  27  ride 3 T=evening
  30  ride 9 T=morning
  29  ride 9 T=afternoon
  27  ride 9 T=evening
  30  ride 2 T=morning
  29  ride 2 T=afternoon
  27  ride 2 T=evening
  30  ride 8 T=morning
  29  ride 8 T=afternoon
  27  ride 8 T=evening
  31  ride 1 T=morning
  30  ride 1 T=afternoon
  28  ride 1 T=evening
------------
Name: Agent 485
Bids:
  13  ride 7 T=morning
  13  ride 7 T=afternoon
  11  ride 7 T=evening
  13  ride 13 T=morning
  13  ride 13 T=afternoon
  11  ride 13 T=evening
  14  ride 6 T=morning
  13  ride 6 T=afternoon
  11  ride 6 T=evening
  14  ride 12 T=morning
  13  ride 12 T=afternoon
  11  ride 12 T=evening
  14  ride 5 T=morning
  14  ride 5 T=afternoon
  12  ride 5 T=evening
  14  ride 11 T=morning
  14  ride 11 T=afternoon
  12  ride 11 T=evening
  15  ride 4 T=morning
  14  ride 4 T=afternoon
  12  ride 4 T=evening
  15  ride 10 T=morning
  14  ride 10 T=afternoon
  12  ride 10 T=evening
  15  ride 3 T=morning
  15  ride 3 T=afternoon
  13  ride 3 T=evening
  15  ride 9 T=morning
  15  ride 9 T=afternoon
  13  ride 9 T=evening
  16  ride 2 T=morning
  15  ride 2 T=afternoon
  13  ride 2 T=evening
  16  ride 8 T=morning
  15  ride 8 T=afternoon
  13  ride 8 T=evening
  16  ride 1 T=morning
  15  ride 1 T=afternoon
  13  ride 1 T=evening
------------
Name: Agent 640
Bids:
  48  ride 7 T=morning
  48  ride 12 T=morning
  49  ride 9 T=afternoon
  47  ride 9 T=evening
  50  ride 2 T=morning
  49  ride 2 T=afternoon
  47  ride 2 T=evening
  50  ride 8 T=morning
------------
